epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,221.966,0.61117,0.7469,0.40261,0.85909,0,0.99426,0.98947,0.98626,0.89644,0.99426,0.98947,0.98626,0.86317,0.46376,0.49303,0.34932,0.84317,0,0.000812,0.000812,0.000812
62,226.155,0.60646,0.80412,0.40289,0.8674,0,0.99421,0.98947,0.98636,0.90008,0.99421,0.98947,0.98636,0.88601,0.44056,0.49905,0.33968,0.83376,0,0.0007922,0.0007922,0.0007922
63,230.092,0.61199,0.79562,0.40593,0.86198,0,0.99576,0.98947,0.98714,0.92608,0.99576,0.98947,0.98714,0.88878,0.40652,0.49332,0.33313,0.82847,0,0.0007724,0.0007724,0.0007724
64,234.13,0.62678,0.82224,0.39978,0.85992,0,0.98923,0.98947,0.98752,0.92446,0.98923,0.98947,0.98752,0.88673,0.40889,0.47537,0.33053,0.83226,0,0.0007526,0.0007526,0.0007526
65,238.449,0.61278,0.78277,0.39455,0.8503,0,0.98677,0.98947,0.98763,0.91062,0.98677,0.98947,0.98763,0.86754,0.44654,0.52749,0.33392,0.83552,0,0.0007328,0.0007328,0.0007328
66,242.935,0.62678,0.78204,0.39937,0.86886,0,0.99815,0.98947,0.98787,0.91338,0.99815,0.98947,0.98787,0.86773,0.41761,0.48088,0.32044,0.83044,0,0.000713,0.000713,0.000713
67,247.03,0.60232,0.76951,0.39216,0.85083,0,0.98851,0.97895,0.97844,0.90681,0.99913,0.98947,0.98804,0.86817,0.44325,0.48547,0.31647,0.84615,0,0.0006932,0.0006932,0.0006932
68,251.182,0.57685,0.75269,0.3824,0.85536,0,0.98812,0.97895,0.97641,0.9002,0.99874,0.98947,0.98782,0.89909,0.45154,0.45893,0.31022,0.85032,0,0.0006734,0.0006734,0.0006734
69,255.166,0.59547,0.77231,0.38948,0.8564,0,0.98838,0.97895,0.97469,0.89364,0.99903,0.98947,0.98773,0.89246,0.44802,0.45277,0.32071,0.85403,0,0.0006536,0.0006536,0.0006536
70,259.14,0.61523,0.79208,0.38829,0.85072,0,0.98849,0.97895,0.97769,0.8891,0.99912,0.98947,0.98767,0.87988,0.47334,0.45465,0.33019,0.85557,0,0.0006338,0.0006338,0.0006338
71,263.161,0.57054,0.72335,0.37698,0.84686,0,0.98828,0.97895,0.9783,0.9085,0.9989,0.98947,0.98772,0.86252,0.42746,0.46747,0.30946,0.8436,0,0.000614,0.000614,0.000614
72,267.349,0.56454,0.73396,0.3757,0.86109,0,0.99887,0.98947,0.98743,0.90644,0.99887,0.98947,0.98743,0.88582,0.42818,0.4656,0.31174,0.84186,0,0.0005942,0.0005942,0.0005942
73,271.517,0.56582,0.73244,0.37662,0.84522,0,0.99911,0.98947,0.98807,0.9214,0.99911,0.98947,0.98807,0.89732,0.41661,0.47441,0.30137,0.83339,0,0.0005744,0.0005744,0.0005744
74,275.6,0.57065,0.74522,0.37142,0.84674,0,0.99903,0.98947,0.98783,0.91693,0.99903,0.98947,0.98783,0.87362,0.42021,0.45597,0.30462,0.83166,0,0.0005546,0.0005546,0.0005546
75,279.691,0.57119,0.725,0.37338,0.85531,0,0.99911,0.98947,0.98746,0.91809,0.99911,0.98947,0.98746,0.8599,0.40238,0.45956,0.29922,0.8339,0,0.0005348,0.0005348,0.0005348
76,283.781,0.55199,0.70532,0.3677,0.84653,0,0.999,0.98947,0.98739,0.91883,0.999,0.98947,0.98739,0.87105,0.39948,0.46505,0.29796,0.83218,0,0.000515,0.000515,0.000515
77,287.718,0.54016,0.7055,0.35821,0.83986,0,0.99897,0.98947,0.98699,0.91353,0.99897,0.98947,0.98699,0.89426,0.41315,0.47463,0.30225,0.83302,0,0.0004952,0.0004952,0.0004952
78,291.708,0.54797,0.69453,0.36942,0.85315,0,0.99885,0.98947,0.9868,0.91235,0.99885,0.98947,0.9868,0.88481,0.38906,0.44042,0.29695,0.83609,0,0.0004754,0.0004754,0.0004754
79,295.825,0.54287,0.72833,0.35878,0.84444,0,0.9988,0.98947,0.98685,0.91293,0.9988,0.98947,0.98685,0.87767,0.38626,0.44134,0.29612,0.8356,0,0.0004556,0.0004556,0.0004556
80,299.802,0.56397,0.78522,0.37162,0.84594,0,0.99672,0.98947,0.98682,0.9055,0.99672,0.98947,0.98682,0.8884,0.41698,0.44492,0.306,0.83935,0,0.0004358,0.0004358,0.0004358
81,303.872,0.5439,0.71033,0.36059,0.84284,0,0.99824,0.98947,0.98735,0.91657,0.99824,0.98947,0.98735,0.8823,0.39984,0.44535,0.29516,0.83469,0,0.000416,0.000416,0.000416
