epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,84.9053,0.46975,0.75236,0.75053,0.91354,0,0.56339,0.83034,0.60977,0.34378,0.51655,0.76393,0.46622,0.32742,1.02213,1.60892,1.68489,1.43313,0,0.00102337,0.00102337,0.00102337
41,86.6715,0.5156,0.65348,0.71698,0.91939,0,0.58794,0.81624,0.63446,0.37995,0.58794,0.81624,0.58501,0.36112,1.04849,1.72203,1.6601,1.44685,0,0.00100687,0.00100687,0.00100687
42,88.6106,0.51139,0.72124,0.73328,0.89186,0,0.59873,0.78571,0.61452,0.34813,0.53905,0.78571,0.51158,0.31398,1.14658,1.77493,1.65027,1.52634,0,0.000990365,0.000990365,0.000990365
43,90.3933,0.53575,0.73906,0.75798,0.90836,0,0.62472,0.71429,0.64649,0.34918,0.55163,0.78571,0.51224,0.32938,1.09794,2.04844,1.5627,1.48378,0,0.000973861,0.000973861,0.000973861
44,92.1773,0.48338,0.70179,0.72884,0.88568,0,0.61866,0.71429,0.6318,0.32457,0.58191,0.71429,0.53032,0.32285,1.13446,2.53335,1.62258,1.55858,0,0.000957358,0.000957358,0.000957358
45,93.9366,0.52384,0.67468,0.7826,0.94786,0,0.58494,0.71429,0.59676,0.28969,0.58494,0.71429,0.51887,0.27537,1.15773,3.38108,1.69995,1.6454,0,0.000940855,0.000940855,0.000940855
46,95.8024,0.46025,0.61958,0.68645,0.905,0,0.62815,0.84516,0.65535,0.33881,0.62815,0.84516,0.60982,0.3484,1.11599,3.88915,1.68938,1.62032,0,0.000924352,0.000924352,0.000924352
47,97.7219,0.51693,0.70493,0.74152,0.89902,0,0.57341,0.92857,0.63348,0.36926,0.61871,1,0.67249,0.38611,1.0049,3.16854,1.61308,1.53331,0,0.000907848,0.000907848,0.000907848
48,99.644,0.41999,0.58191,0.66616,0.87339,0,0.5967,0.85714,0.62264,0.37232,0.58757,0.91632,0.70748,0.40739,0.99605,3.08803,1.48242,1.52205,0,0.000891345,0.000891345,0.000891345
49,101.626,0.43753,0.6368,0.63672,0.85998,0,0.59553,0.84197,0.68649,0.46228,0.64658,0.78416,0.75891,0.48106,1.17045,2.62181,1.47437,1.74826,0,0.000874842,0.000874842,0.000874842
50,103.546,0.4491,0.65805,0.60873,0.87459,0,0.66656,0.85676,0.72667,0.49029,0.66656,0.85676,0.7379,0.48459,0.91898,2.51825,1.47214,1.38933,0,0.000858338,0.000858338,0.000858338
51,105.552,0.47066,0.61823,0.65049,0.89942,0,0.62628,0.85714,0.7952,0.56522,0.73464,0.78571,0.86606,0.55327,0.85684,3.21595,1.29936,1.30012,0,0.000841835,0.000841835,0.000841835
52,107.745,0.44885,0.59891,0.62838,0.88799,0,0.73796,0.85714,0.83297,0.59876,0.7848,0.92857,0.91218,0.57594,0.88487,4.623,1.1228,1.42961,0,0.000825332,0.000825332,0.000825332
53,109.591,0.47323,0.66828,0.64128,0.90788,0,0.71302,0.85714,0.77663,0.56199,0.7449,0.92857,0.8791,0.54967,0.96545,5.24446,1.18489,1.55782,0,0.000808828,0.000808828,0.000808828
54,111.5,0.50395,0.64693,0.64834,0.92055,0,0.68766,0.85714,0.73449,0.54666,0.74102,0.78571,0.84337,0.52209,1.07316,4.81656,1.35824,1.71363,0,0.000792325,0.000792325,0.000792325
55,113.78,0.51823,0.61748,0.69738,0.91585,0,0.66414,0.84792,0.71484,0.51785,0.67239,0.88045,0.80435,0.52125,1.00249,4.03394,1.10403,1.56847,0,0.000775822,0.000775822,0.000775822
56,115.079,0.41312,0.6267,0.60875,0.87581,0,0.56224,0.85714,0.70971,0.53637,0.60935,0.92857,0.79321,0.51407,0.9513,3.80877,1.12796,1.52712,0,0.000759318,0.000759318,0.000759318
57,116.329,0.47274,0.72505,0.60758,0.89665,0,0.57393,0.78571,0.6822,0.4755,0.59603,0.84367,0.78951,0.48798,0.94338,3.75136,1.30748,1.54929,0,0.000742815,0.000742815,0.000742815
58,117.715,0.44938,0.73897,0.66074,0.90413,0,0.5929,0.85714,0.66696,0.42932,0.5929,0.85714,0.70329,0.42679,1.01514,4.04947,1.48025,1.58658,0,0.000726312,0.000726312,0.000726312
59,119.523,0.48141,0.76429,0.63882,0.91848,0,0.61184,0.71429,0.63661,0.3899,0.61184,0.71429,0.6307,0.39728,1.00628,4.27385,1.57625,1.60011,0,0.000709809,0.000709809,0.000709809
60,120.955,0.43677,0.6285,0.58455,0.89524,0,0.53439,0.85714,0.64471,0.31495,0.53439,0.85714,0.56274,0.31491,1.06237,4.43899,1.66444,1.65976,0,0.000693305,0.000693305,0.000693305
61,122.438,0.38916,0.57371,0.56997,0.86326,0,0.50532,0.85714,0.59337,0.29449,0.50532,0.85714,0.5325,0.28595,1.16961,4.27661,1.68211,1.78605,0,0.000676802,0.000676802,0.000676802
62,124.481,0.42917,0.61287,0.57476,0.87146,0,0.53697,0.82913,0.57426,0.3192,0.53697,0.82913,0.53185,0.30055,1.13484,4.23828,1.77308,1.78686,0,0.000660299,0.000660299,0.000660299
63,126.616,0.41951,0.56281,0.61462,0.87156,0,0.52359,0.78504,0.55527,0.32682,0.52359,0.78504,0.53515,0.30717,1.13381,4.09783,1.72812,1.79678,0,0.000643795,0.000643795,0.000643795
64,128.83,0.44276,0.69531,0.64456,0.86748,0,0.54459,0.85714,0.58861,0.35554,0.54459,0.85714,0.56749,0.33957,1.05259,3.93164,1.65623,1.65865,0,0.000627292,0.000627292,0.000627292
65,130.79,0.39809,0.61399,0.55759,0.87487,0,0.65452,0.57143,0.62596,0.32898,0.55517,0.64286,0.48861,0.3076,1.06593,3.72559,1.75719,1.63259,0,0.000610789,0.000610789,0.000610789
66,132.799,0.44706,0.66953,0.60063,0.89091,0,0.61568,0.64286,0.6267,0.33333,0.58623,0.64286,0.50428,0.30431,1.18202,3.36524,1.68283,1.78893,0,0.000594286,0.000594286,0.000594286
67,134.598,0.42344,0.64897,0.59656,0.88832,0,0.64098,0.64286,0.66054,0.36794,0.55222,0.70517,0.52736,0.33403,1.15817,3.1733,1.76659,1.74367,0,0.000577782,0.000577782,0.000577782
68,136.38,0.40031,0.62084,0.56334,0.87623,0,0.55461,0.64286,0.65348,0.39961,0.4851,0.80819,0.61646,0.38069,1.20187,3.42231,1.8384,1.74927,0,0.000561279,0.000561279,0.000561279
69,138.465,0.41426,0.59242,0.57655,0.87979,0,0.49331,0.85714,0.67622,0.49525,0.53563,0.92857,0.7064,0.47693,1.08549,4.37947,1.74894,1.64928,0,0.000544776,0.000544776,0.000544776
70,140.348,0.42602,0.63135,0.54651,0.85908,0,0.56725,0.85714,0.71099,0.52992,0.61517,0.92857,0.74703,0.50896,0.98231,4.96769,1.76171,1.55248,0,0.000528272,0.000528272,0.000528272
71,142.246,0.37063,0.60287,0.53231,0.87367,0,0.53651,0.78571,0.72402,0.51875,0.61574,0.71429,0.74577,0.50349,1.01799,4.31968,1.83148,1.55533,0,0.000511769,0.000511769,0.000511769
72,144.197,0.40733,0.59605,0.54554,0.85672,0,0.53089,0.80907,0.7129,0.49987,0.56923,0.84981,0.68718,0.47959,0.94371,3.58795,2.09859,1.46862,0,0.000495266,0.000495266,0.000495266
73,146.74,0.42961,0.58256,0.54273,0.88908,0,0.62731,0.85714,0.73587,0.50958,0.62731,0.85714,0.67637,0.47669,0.9502,3.07868,1.65097,1.5201,0,0.000478762,0.000478762,0.000478762
74,148.773,0.41633,0.63116,0.56195,0.86701,0,0.65872,0.85714,0.75662,0.48879,0.65872,0.85714,0.66582,0.47477,1.06665,2.93808,1.39968,1.63739,0,0.000462259,0.000462259,0.000462259
75,150.552,0.37928,0.53452,0.507,0.86254,0,0.62846,0.85714,0.74845,0.50593,0.62846,0.85714,0.66865,0.47612,1.06055,2.90043,1.27265,1.64174,0,0.000445756,0.000445756,0.000445756
76,152.654,0.36285,0.55728,0.50934,0.85601,0,0.62967,0.85047,0.76432,0.54416,0.62967,0.85047,0.70184,0.51186,0.95473,2.99204,1.25491,1.55493,0,0.000429253,0.000429253,0.000429253
77,154.546,0.39515,0.58175,0.54821,0.86252,0,0.62866,0.85714,0.76324,0.56279,0.62866,0.85714,0.72409,0.5359,0.87102,3.11803,1.32613,1.46658,0,0.000412749,0.000412749,0.000412749
78,156.675,0.40299,0.67363,0.52893,0.88297,0,0.7079,0.71429,0.74672,0.54801,0.59679,0.85714,0.73198,0.51533,0.88743,3.13961,1.32633,1.467,0,0.000396246,0.000396246,0.000396246
79,158.888,0.42863,0.61031,0.57759,0.89697,0,0.59872,0.85714,0.71887,0.54184,0.59872,0.85714,0.74578,0.51332,0.92071,3.15957,1.29241,1.50034,0,0.000379743,0.000379743,0.000379743
80,160.718,0.40489,0.5547,0.49827,0.88528,0,0.63085,0.85458,0.68968,0.50403,0.63085,0.85458,0.7163,0.47097,0.91973,3.11613,1.24708,1.51092,0,0.000363239,0.000363239,0.000363239
81,162.728,0.38848,0.5988,0.49176,0.89279,0,0.62943,0.85714,0.67632,0.46747,0.62943,0.85714,0.66293,0.44594,0.90854,3.05744,1.29171,1.51401,0,0.000346736,0.000346736,0.000346736
82,164.823,0.3982,0.5864,0.54274,0.88712,0,0.63031,0.85272,0.65821,0.43218,0.63031,0.85272,0.64234,0.42015,0.8836,2.99831,1.3917,1.50074,0,0.000330233,0.000330233,0.000330233
83,166.555,0.37107,0.59943,0.49008,0.86267,0,0.62984,0.85106,0.64193,0.41857,0.62984,0.85106,0.63712,0.40799,0.8357,3.20034,1.53871,1.47824,0,0.000313729,0.000313729,0.000313729
84,168.278,0.39259,0.559,0.5092,0.88293,0,0.62923,0.84894,0.62799,0.3994,0.62923,0.84894,0.62107,0.40284,0.8466,3.13606,1.59218,1.49091,0,0.000297226,0.000297226,0.000297226
85,170.293,0.35772,0.55725,0.48099,0.86098,0,0.59658,0.84555,0.61904,0.41047,0.59658,0.84555,0.61429,0.39791,0.85495,3.00557,1.56651,1.49673,0,0.000280723,0.000280723,0.000280723
86,172.155,0.35293,0.5756,0.52671,0.87586,0,0.59942,0.85516,0.6382,0.4082,0.59942,0.85516,0.61464,0.3956,0.85901,2.94085,1.53178,1.49549,0,0.00026422,0.00026422,0.00026422
87,173.932,0.33062,0.53164,0.48671,0.85639,0,0.62917,0.84872,0.67027,0.4376,0.62917,0.84872,0.65509,0.42731,0.85029,2.91171,1.4125,1.49274,0,0.000247716,0.000247716,0.000247716
88,175.686,0.37233,0.5465,0.45528,0.85649,0,0.62759,0.85714,0.69996,0.50282,0.62759,0.85714,0.74385,0.49344,0.805,2.86076,1.28341,1.4553,0,0.000231213,0.000231213,0.000231213
89,177.411,0.36275,0.5553,0.47493,0.86452,0,0.64853,0.92857,0.71261,0.51408,0.69927,1,0.80231,0.51048,0.75486,2.74913,1.0948,1.41654,0,0.00021471,0.00021471,0.00021471
90,179.01,0.34493,0.52065,0.48473,0.83295,0,0.64758,0.92857,0.7349,0.56486,0.69765,1,0.83003,0.53766,0.72815,2.72645,0.98343,1.38691,0,0.000198206,0.000198206,0.000198206
91,209.391,0.24841,0.47162,0.46368,0.80147,0,0.64925,0.92857,0.74831,0.58676,0.69967,1,0.84816,0.54841,0.71814,2.62829,0.94977,1.38125,0,0.000181703,0.000181703,0.000181703
92,211.591,0.26116,0.4725,0.49886,0.82303,0,0.64766,0.92857,0.75654,0.61357,0.69768,1,0.871,0.57321,0.71264,2.60105,0.93217,1.37933,0,0.0001652,0.0001652,0.0001652
93,213.858,0.2717,0.49871,0.50605,0.84591,0,0.64729,0.92857,0.78603,0.61317,0.6973,1,0.87383,0.57914,0.74001,2.56592,0.94088,1.40253,0,0.000148696,0.000148696,0.000148696
94,215.984,0.24472,0.46331,0.45214,0.80353,0,0.71098,0.78571,0.78257,0.62043,0.59944,0.96281,0.84843,0.58518,0.81076,2.49382,0.99125,1.50073,0,0.000132193,0.000132193,0.000132193
95,218.675,0.24599,0.46651,0.43741,0.80004,0,0.70606,0.78571,0.77294,0.59981,0.69666,0.78571,0.80539,0.56242,0.85823,2.51042,1.01358,1.54118,0,0.00011569,0.00011569,0.00011569
96,220.909,0.25011,0.46151,0.45577,0.83343,0,0.70775,0.78571,0.78139,0.57437,0.66597,0.85714,0.77479,0.54583,0.82649,2.51813,1.06728,1.47764,0,9.91865e-05,9.91865e-05,9.91865e-05
97,222.823,0.23314,0.47747,0.44434,0.82427,0,0.66608,0.85501,0.7615,0.56036,0.66608,0.85501,0.76518,0.53325,0.84471,2.54958,1.11547,1.48988,0,8.26832e-05,8.26832e-05,8.26832e-05
98,225.047,0.24281,0.46782,0.46593,0.82421,0,0.6636,0.84596,0.74983,0.53439,0.6636,0.84596,0.75635,0.51235,0.84664,2.56411,1.11846,1.49024,0,6.61799e-05,6.61799e-05,6.61799e-05
99,227.117,0.23989,0.47428,0.43107,0.82858,0,0.66155,0.8385,0.75214,0.53535,0.66155,0.8385,0.75661,0.51284,0.84753,2.57697,1.13045,1.48759,0,4.96766e-05,4.96766e-05,4.96766e-05
100,229.112,0.23051,0.47246,0.4578,0.76887,0,0.72688,0.7615,0.75083,0.54057,0.6896,0.78571,0.76396,0.51643,0.84898,2.60028,1.13345,1.48964,0,3.31733e-05,3.31733e-05,3.31733e-05
